Driver,Team,Points,Country
Max Verstappen,Red Bull Racing,395.5,Netherlands
Lewis Hamilton,Mercedes,387.5,United Kingdom
Valtteri Bottas,Mercedes,226,Finland
Sergio Perez,Red Bull Racing,190,Mexico
Carlos Sainz,Ferrari,164.5,Spain
Lando Norris,McLaren,160,United Kingdom
Charles Leclerc,Ferrari,159,Monaco
Daniel Ricciardo,McLaren,115,Australia
Pierre Gasly,AlphaTauri,110,France
Fernando Alonso,Alpine,81,Spain
Esteban Ocon,Alpine,74,France
Sebastian Vettel,Aston Martin,43,Germany
Lance Stroll,Aston Martin,34,Canada
Yuki Tsunoda,AlphaTauri,32,Japan
George Russell,Williams,16,United Kingdom
Kimi Räikkönen,Alfa Romeo,10,Finland
Nicholas Latifi,Williams,7,Canada
Antonio Giovinazzi,Alfa Romeo,3,Italy
Mick Schumacher,Haas,0,Germany
Robert Kubica,Alfa Romeo,0,Poland
Nikita Mazepin,Haas,0,Russia
